B1;61,150
T1;47,442
T4;85,576
T4;225,572
T4;151,585
T4;72,634
T4;40,660
T4;14,693
T4;169,673
T4;199,636
T4;258,682
T4;52,676
T4;-4,582
T4;230,102
T4;164,71
T4;199,39
T4;243,21
T4;462,-2
T4;579,-7
T4;690,-2
T4;859,-2
T4;973,-2
T4;1097,15
T4;1161,24
T4;1182,28
S1;122,325
S1;228,236
S1;238,464
B3;964,634
B3;1071,528
B3;1127,440
B3;1189,389
B3;1192,340
T4;12,632
T4;29,608
T4;29,589
T4;65,553
T4;107,589
T4;112,620
T4;122,632
T4;201,618
T4;118,664
T4;86,708
T4;4,709
T4;141,715
T4;169,714
T4;204,714
T4;251,711
T4;209,678
T4;171,629
T4;188,583
T4;190,566
T4;129,555
T4;228,606
T4;229,657
T4;251,679
T4;278,714
T4;274,718
T4;94,710
T4;139,681
T4;144,643
T4;125,596
T4;1,636
T4;29,559
T4;-15,559
T4;69,718
T4;112,676
T4;74,673
T4;294,716
T4;348,716
T4;361,715
T4;301,693
T4;292,677
T4;257,635
T4;254,611
T4;270,568
T4;286,631
T4;305,674
T4;317,697
