B1;61,150
T4;112,446
T4;53,586
T4;209,576
B3;64,316
B3;119,262
B3;65,8
B3;261,-2
B3;504,12
T1;340,10
T1;783,23
T1;1090,25
T1;906,155
T1;797,202
T1;798,246
T1;1036,270
T1;346,327
T1;327,386
T1;433,408
T1;467,284
T1;688,487
T1;821,520
T1;930,499
T1;1184,267
T1;1166,143
T1;448,574
F1;395,689
F1;484,689
F1;563,689
F1;717,689
F1;831,694
F1;896,697
F1;1007,704
F1;1057,695
F1;1166,692
F1;1184,692
T4;205,619
T4;245,648
T4;217,613
T4;235,584
F1;441,697
F1;589,704
F1;651,694
F1;514,696
F1;762,704
F1;933,699
F1;942,635
F1;969,634
F1;1013,639
F1;942,679
F1;988,670
F1;1071,702
F1;1106,720
F1;1134,704
F1;1220,710
F1;373,714
F1;404,723
F1;525,722
F1;636,729
F1;705,717
F1;800,720
F1;911,715
F1;926,715
F1;991,717
